,coef__df_no_covid_2019,coef__df_pre_covid,coef__df_during_covid,coef__df_post_covid
retweet_count,0.054999838,,0.037012738,0.027630107
reply_count,0.028613188,0.100271264,0.047726461,0.041384475
support,0.016991028,-0.048998122,0.040725647,-0.173903316
knowledge,0.119339347,0.100595733,0.048184922,-0.025325516
conflict,0.131288514,0.131065481,0.0946785,0.273985806
power,-0.084278259,-0.065681251,-0.044090283,-0.065090221
similarity,0.258339934,0.083906722,0.013450706,0.037823655
fun,-0.172666176,-0.077319129,-0.092986217,-0.063660172
status,0.144674643,-0.100280344,0.073681371,0.108217977
trust,-0.146147895,-0.020662983,-0.076417546,-0.135499065
identity,0.041309724,0.009579823,-0.111952808,-0.037942433
retweet_count:support,-0.00117319,,,0.018220844
retweet_count:knowledge,-0.016336395,,,-0.001959767
retweet_count:conflict,-0.012975457,,,-0.024610673
retweet_count:power,0.004003248,,,-0.001283698
retweet_count:similarity,-0.021316832,,,-0.004132135
retweet_count:fun,0.002511774,,,0.003529105
retweet_count:status,-0.008720208,,,0.001889563
retweet_count:trust,0.009790618,,,0.014288236
retweet_count:identity,-0.001607643,,,0.002522216
reply_count:support,,,-0.009147693,
reply_count:knowledge,,,0.019826707,
reply_count:conflict,,,-0.031525873,
reply_count:power,,,-0.002514954,
reply_count:similarity,,,-0.02898872,
reply_count:fun,,,-0.013049616,
reply_count:status,,,0.023635443,
reply_count:trust,,,0.018439381,
reply_count:identity,,,0.001184493,
