,coef__df_no_covid_2019,coef__df_pre_covid,coef__df_during_covid,coef__df_post_covid
reply_count,,,0.027051083,0.022398741
favorite_count,0.022766559,,0.013587031,0.004496336
support,-0.030473501,-0.122856914,-0.078229192,-0.207749149
knowledge,0.048996649,0.082637173,0.115421465,0.030383191
conflict,0.066035252,0.126118512,0.161686947,0.221752466
power,0.025169583,-0.076769555,0.047589578,-0.0369081
similarity,0.070696526,0.047688288,-0.034479613,-0.054916912
fun,-0.152606362,-0.302864654,-0.161948918,-0.139221338
status,-0.072450549,-0.472487569,-0.108386475,-0.039202252
trust,-0.040750095,0.058282061,-0.018381714,-0.062626516
identity,-0.023088446,-0.17301746,-0.120691064,-0.139974039
reply_count:support,-0.036341789,,-0.00618267,
reply_count:knowledge,0.014367371,,0.00424306,
reply_count:conflict,-0.063057275,,-0.032064004,
reply_count:power,-0.000711095,,-0.001871575,
reply_count:similarity,-0.019823311,,-0.003980316,
reply_count:fun,-0.033768147,,-0.02332651,
reply_count:status,-0.033985423,,0.004001809,
reply_count:trust,0.022690479,,0.011656351,
reply_count:identity,0.062773879,,0.022587744,
favorite_count:support,,0.000925162,,0.00486324
favorite_count:knowledge,,0.003166107,,4.80E-05
favorite_count:conflict,,0.003269784,,-0.003314434
favorite_count:power,,0.00430797,,1.58E-05
favorite_count:similarity,,0.001525112,,-0.000490847
favorite_count:fun,,0.011776081,,0.000980841
favorite_count:status,,0.017927159,,0.00039943
favorite_count:trust,,-0.000575954,,0.003189441
favorite_count:identity,,0.010119082,,0.001203736
